clean_feature_index,original_neuron_index,raw_mu_inanimate,raw_mu_animate,raw_contrast,normalized_contrast,abs_normalized_contrast,signed_log_abs_normalized_contrast
32646,32646,0.114909075,0.18761909,0.072710015,0.0046056397,0.0046056397,1.0329578
29513,29513,0.13709088,0.20698412,0.06989324,0.0046028644,0.0046028644,1.0327203
8015,8015,0.1250909,0.065396816,-0.05969408,-0.00460261,0.00460261,-1.0326985
31829,31829,0.23636365,0.20412697,-0.03223668,-0.0045995414,0.0045995414,-1.0324357
6113,6113,0.30036357,0.27301586,-0.027347714,-0.004596062,0.004596062,-1.0321376
1407,1407,0.10036362,0.043492056,-0.056871563,-0.0045869406,0.0045869406,-1.031355
27819,27819,0.03599999,0.10031743,0.06431744,0.004583421,0.004583421,1.0310527
23653,23653,0.08436361,0.15396826,0.06960465,0.004572329,0.004572329,1.0300984
33605,33605,0.08436361,0.14761908,0.063255474,0.0045713824,0.0045713824,1.0300169
4041,4041,0.11563634,0.061904743,-0.053731598,-0.0045619803,0.0045619803,-1.0292063
37448,37448,0.061090894,0.12222218,0.061131284,0.004560374,0.004560374,1.0290676
32694,32694,0.04981817,0.11142855,0.061610382,0.004557672,0.004557672,1.0288343
35811,35811,0.1305454,0.20222226,0.071676865,0.004553844,0.004553844,1.0285037
29429,29429,0.037090905,0.10349205,0.06640115,0.0045527704,0.0045527704,1.0284108
36128,36128,0.12690906,0.089523785,-0.037385277,-0.004552325,0.004552325,-1.0283723
10126,10126,0.1323636,0.08349203,-0.04887157,-0.00455159,0.00455159,-1.0283087
12017,12017,0.04799999,0.10285711,0.054857124,0.0045413338,0.0045413338,1.0274209
18397,18397,0.03890908,0.10158728,0.0626782,0.004540813,0.004540813,1.0273758
35505,35505,0.030909086,0.092698395,0.06178931,0.004538724,0.004538724,1.0271947
29358,29358,0.07199998,0.13873015,0.06673017,0.004538096,0.004538096,1.0271403
35324,35324,0.12181813,0.19619048,0.07437234,0.004533422,0.004533422,1.0267348
1680,1680,0.2723636,0.23714282,-0.035220787,-0.004531553,0.004531553,-1.0265726
20235,20235,0.07745452,0.13492063,0.057466105,0.004530736,0.004530736,1.0265015
22286,22286,0.1272727,0.19809529,0.0708226,0.0045298925,0.0045298925,1.0264283
14304,14304,0.11818178,0.18444449,0.06626271,0.0045290384,0.0045290384,1.0263542
23356,23356,0.108727254,0.17904761,0.07032036,0.0045098225,0.0045098225,1.0246817
30219,30219,0.08145452,0.040317446,-0.041137077,-0.0045079184,0.0045079184,-1.0245156
35808,35808,0.14727266,0.21492063,0.067647964,0.0045003444,0.0045003444,1.0238545
19693,19693,0.15999998,0.11365076,-0.04634922,-0.004497612,0.004497612,-1.0236156
12855,12855,0.053090896,0.11523807,0.062147174,0.004495161,0.004495161,1.0234013
20221,20221,0.06836363,0.12888886,0.06052523,0.004493491,0.004493491,1.0232552
24133,24133,0.10363633,0.16984126,0.06620493,0.004491998,0.004491998,1.0231246
33782,33782,0.10181815,0.1688889,0.067070745,0.0044907853,0.0044907853,1.0230185
21950,21950,0.06836361,0.13269839,0.06433478,0.00448933,0.00448933,1.022891
5644,5644,0.12945452,0.19714285,0.06768833,0.004486168,0.004486168,1.022614
4420,4420,0.2396364,0.19269842,-0.046937987,-0.0044856053,0.0044856053,-1.0225648
28270,28270,0.05490908,0.11714283,0.062233746,0.0044809575,0.0044809575,1.0221573
27546,27546,0.06472727,0.12920633,0.06447906,0.00447001,0.00447001,1.021196
16023,16023,0.093818165,0.1536508,0.05983264,0.0044588214,0.0044588214,1.0202113
23915,23915,0.06909088,0.13174601,0.06265513,0.004457707,0.004457707,1.0201132
8993,8993,0.15599999,0.11269837,-0.04330162,-0.0044504376,0.0044504376,-1.0194721
14610,14610,0.07490909,0.14349203,0.06858294,0.004449371,0.004449371,1.019378
17505,17505,0.033818174,0.09460314,0.06078497,0.0044335965,0.0044335965,1.0179833
646,646,0.1312727,0.088253945,-0.04301876,-0.0044328636,0.0044328636,-1.0179183
25244,25244,0.19454545,0.15460315,-0.039942294,-0.004423215,0.004423215,-1.0170629
31648,31648,0.16290908,0.12285709,-0.04005199,-0.0044228043,0.0044228043,-1.0170265
