perm_idx,accuracy,balanced_accuracy,auc
285,0.3305084745762712,0.32799422799422795,0.28888888888888886
286,0.4322033898305085,0.4336219336219336,0.4164502164502164
287,0.5423728813559322,0.5414141414141413,0.5440115440115441
288,0.4322033898305085,0.4336219336219336,0.4349206349206349
289,0.5,0.49595959595959593,0.5018759018759018
290,0.5,0.49595959595959593,0.5264069264069264
291,0.5677966101694916,0.5652236652236652,0.567099567099567
292,0.3813559322033898,0.37676767676767675,0.31746031746031744
293,0.4576271186440678,0.45281385281385284,0.4686868686868687
294,0.5508474576271186,0.547041847041847,0.5668109668109669
295,0.4661016949152542,0.46075036075036074,0.44502164502164504
296,0.5677966101694916,0.5663780663780664,0.6591630591630592
297,0.5338983050847458,0.5334776334776334,0.5694083694083695
298,0.576271186440678,0.5766233766233766,0.6329004329004327
299,0.6271186440677966,0.6253968253968254,0.6158730158730158
300,0.559322033898305,0.5584415584415584,0.5544011544011543
301,0.4322033898305085,0.4313131313131313,0.42943722943722945
302,0.5169491525423728,0.5164502164502165,0.5209235209235209
303,0.4830508474576271,0.48470418470418464,0.5142857142857142
304,0.559322033898305,0.5538239538239538,0.554978354978355
305,0.6610169491525424,0.6582972582972583,0.6435786435786435
306,0.559322033898305,0.556132756132756,0.582972582972583
307,0.4491525423728814,0.446031746031746,0.45252525252525255
308,0.5169491525423728,0.5152958152958153,0.5062049062049062
309,0.4322033898305085,0.4301587301587302,0.427994227994228
310,0.4830508474576271,0.4835497835497835,0.5044733044733045
311,0.5423728813559322,0.5402597402597402,0.6028860028860028
312,0.5,0.4948051948051948,0.47128427128427125
313,0.5677966101694916,0.5652236652236652,0.5887445887445888
314,0.5847457627118644,0.5845598845598845,0.5867243867243866
315,0.4745762711864407,0.47676767676767673,0.4669552669552669
316,0.4406779661016949,0.43347763347763346,0.37056277056277054
317,0.5254237288135594,0.5209235209235209,0.4597402597402597
318,0.5254237288135594,0.5243867243867244,0.5515151515151515
319,0.4491525423728814,0.446031746031746,0.5012987012987014
